Hw_did_hear_about_the_course1,Hw_did_hear_about_the_course2,Hw_did_hear_about_the_course3,Hw_did_hear_about_the_course4,Hw_did_hear_about_the_course5,Hw_did_hear_about_the_course6,Rate_comm_before_the_course,Rate_registration_before_course,Rate_the_registration_during_course,Extent_personal_expect_met,Extent_learning_objectives_met, My_know_Basic Emergency_improve,My_skills_in_Basic_Emergency_care_improve, My_attitude_has_imporved,My_self_confidence_hasa_improved,Relevance_of_the_topics_for_the_course,Organized_and_easy_to_follow,Presenters_generally_exhibited_good_understanding_of_topic.,Presenters_spoke_effectively,Slides_enhanced_presentation,Presentation was done in a way that engaged audience,Final_course_review_was_relevant_course,Course_was_fun,Snacks,Lunch,Course_organisation ,Logistics_Course_files_materials ,Social_media_suggest_pst_short_courses,likely_attend_course_same_organizers,likely_recommend_course_to_others
AFEM,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Facebook ,0,1
Course Brochure,Flyer - printed, By Telephone, Conference Website,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,WhatsApp,1,1
Facebook,Whatsapp,Twitter,Instagram,,,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,WhatsApp ,1,1
Course Brochure,Flyer - printed,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,WhatsApp ,1,1
Facebook,Whatsapp,Twitter,Instagram,,,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Facebook ,1,1
By Telephone,,,,,,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,WhatsApp,1,1
Facebook,Whatsapp,Twitter,Instagram,,,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,Facebook ,1,1
Conference Website,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Facebook,1,1
Course Brochure,Flyer - printed, By Telephone, Conference Website,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,WhatsApp,1,1
By Telephone,,,,,,-1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,WhatsApp,1,1
By Telephone,,,,,,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,WhatsApp,1,1
Facebook,Whatsapp,Twitter,Instagram,,,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,WhatsApp ,0,0
By Telephone,,,,,,1,1,1,1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,1,1,1,1,1,WhatsApp ,1,-1
Through my clinical coordinator ,,,,,,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,WhatsApp,1,1
By Telephone,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Facebook ,1,1
Facebook,Whatsapp,Twitter,Instagram,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Twitter,1,1
Facebook,Whatsapp,Twitter,Instagram,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,LinkedIn ,1,1
By Telephone,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,WhatsApp,1,1
Invited by the Bono East Health Directorate,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Telegram messenger ,1,1
Facebook,Whatsapp,Twitter,Instagram, By Telephone,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,WhatsApp,1,1
By Telephone,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Facebook,1,1
Invitation by Federal Ministry of Health, Nigeria ,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,WhatsApp,1,1
Conference Website,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Facebook,1,1
Course Brochure,Flyer - printed,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Facebook ,1,1
Facebook,Whatsapp,Twitter,Instagram, By Telephone,,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,Facebook ,1,1
Facebook,Whatsapp,Twitter,Instagram, By Telephone, Conference Website,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Email,1,1
Facebook,Whatsapp,Twitter,Instagram,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Facebook ,1,1
Course Brochure,Flyer - printed,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Twitter ,1,1
By Telephone,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Instagram ,1,1
Course Brochure,Flyer - printed,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Facebook ,1,1
Facebook,Whatsapp,Twitter,Instagram,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Facebook,1,1
I was informed by my Nurse Manager ,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Instagram,1,1
By Telephone,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,WhatsApp ,1,1
Course Brochure,Flyer - printed,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,WhatsApp,1,1
WHO,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Website ,1,1
By Telephone,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,WhatsApp,1,1
Facebook,Whatsapp,Twitter,Instagram,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,WhatsApp,1,1
Conference Website,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Facebook ,1,1
By Telephone,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,WhatsApp,1,1
Through a senior colleague,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Facebook,1,1
By Telephone,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Whatsapp ,1,1
Conference Website,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Facebook ,1,1
By Telephone,,,,,,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,WhatsApp,1,1
